Q_ID,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol
08_0268,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8
06_0269,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4
06_0270,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1
06_0271,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7
06_0272,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1
05_0273,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1
05_0274,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4
05_0275,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4
06_0276,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7
06_0277,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4
06_0278,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1
08_0279,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6
07_0280,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5
06_0281,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3
07_0282,7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9
05_0283,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1
07_0284,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5
05_0285,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8
05_0286,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8
06_0287,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3
06_0288,7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3
07_0289,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6
05_0290,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2
07_0291,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6
05_0292,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5
06_0293,10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3
06_0294,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1
06_0295,13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5
05_0296,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5
05_0297,10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9
05_0298,7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6
05_0299,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7
05_0300,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6
06_0301,7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7
06_0302,11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1
05_0303,8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10
05_0304,7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5
05_0305,8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2
06_0306,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3
05_0307,7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4
06_0308,10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5
06_0309,10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5
06_0310,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5
06_0311,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3
06_0312,7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4
06_0313,9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5
05_0314,8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4
05_0315,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11
06_0316,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11
05_0317,9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1
06_0318,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4
07_0319,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5
06_0320,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4
07_0321,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5
05_0322,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7
05_0323,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3
06_0324,10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5
06_0325,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2
06_0326,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2
07_0327,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5
05_0328,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5
06_0329,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7
05_0330,10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5
06_0331,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5
06_0332,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5
06_0333,8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4
05_0334,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11
07_0335,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7
07_0336,11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2
06_0337,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5
05_0338,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3
06_0339,12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5
07_0340,12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8
06_0341,12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2
06_0342,10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3
06_0343,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8
06_0344,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8
06_0345,11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7
05_0346,7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9
07_0347,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3
06_0348,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12
06_0349,9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10
06_0350,9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4
06_0351,10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9
06_0352,9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4
05_0353,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3
05_0354,13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13
06_0355,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9
06_0356,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8
05_0357,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11
07_0358,10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7
07_0359,11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4
06_0360,12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8
05_0361,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4
06_0362,8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9
05_0363,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10
05_0364,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2
07_0365,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10
06_0366,10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8
07_0367,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10
05_0368,10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9
05_0369,10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4
07_0370,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12
05_0371,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9
06_0372,7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7
06_0373,9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6
05_0374,7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2
06_0375,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8
07_0376,11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8
06_0377,11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11
07_0378,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12
06_0379,11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3
06_0380,8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8
06_0381,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
06_0382,13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10
06_0383,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
06_0384,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
05_0385,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2
06_0386,7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7
06_0387,7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2
06_0388,8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6
06_0389,7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2
07_0390,9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10
08_0391,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9
06_0392,13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10
05_0393,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5
05_0394,8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1
05_0395,12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9
07_0396,12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13
05_0397,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9
06_0398,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11
06_0399,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11
05_0400,8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4
05_0401,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9
06_0402,7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8
06_0403,12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5
06_0404,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5
05_0405,7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1
06_0406,8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1
06_0407,9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8
07_0408,12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8
06_0409,10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3
04_0410,12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6
06_0411,9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5
05_0412,9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5
05_0413,7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3
07_0414,9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7
05_0415,8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5
05_0416,8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3
06_0417,10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7
05_0418,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5
06_0419,11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4
05_0420,6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9
07_0421,9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8
07_0422,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3
05_0423,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9
07_0424,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11
05_0425,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9
07_0426,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3
06_0427,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4
06_0428,9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6
05_0429,9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3
06_0430,12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4
07_0431,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11
05_0432,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2
06_0433,11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8
05_0434,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5
06_0435,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9
05_0436,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5
06_0437,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2
06_0438,11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2
06_0439,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9
05_0440,7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3
08_0441,12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8
06_0442,11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3
07_0443,15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2
07_0444,10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6
07_0445,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5
06_0446,9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1
05_0447,12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5
05_0448,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2
06_0449,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2
06_0450,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8
06_0451,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8
06_0452,8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1
06_0453,6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10
07_0454,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2
05_0455,7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1
08_0456,11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4
05_0457,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3
05_0458,9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6
07_0459,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2
03_0460,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9
06_0461,9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3
05_0462,8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3
05_0463,11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8
05_0464,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9
06_0465,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2
05_0466,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7
06_0467,10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5
06_0468,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14
06_0469,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2
05_0470,8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8
05_0471,13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6
06_0472,9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4
06_0473,12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4
05_0474,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6
06_0475,10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4
05_0476,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2
05_0477,9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7
06_0478,10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11
05_0479,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2
06_0480,9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1
05_0481,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2
08_0482,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7
05_0483,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4
05_0484,10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4
06_0485,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4
05_0486,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10
05_0487,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10
06_0488,10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10
07_0489,11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8
06_0490,9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2
06_0491,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6
07_0492,9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3
07_0493,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4
06_0494,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6
06_0495,6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1
08_0496,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11
06_0497,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9
05_0498,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1
08_0499,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11
06_0500,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6
06_0501,7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9
07_0502,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12
07_0503,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12
07_0504,10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9
07_0505,10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8
07_0506,10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5
07_0507,10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8
06_0508,11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5
06_0509,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2
07_0510,13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4
05_0511,12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5
06_0512,10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2
06_0513,10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7
07_0514,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8
07_0515,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8
05_0516,8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3
06_0517,12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9
03_0518,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4
06_0519,10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7
05_0520,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11
06_0521,9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10
05_0522,7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1
05_0523,8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8
05_0524,9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4
05_0525,9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5
05_0526,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9
05_0527,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11
06_0528,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4
06_0529,8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7
05_0530,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4
06_0531,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3
05_0532,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3
05_0533,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3
06_0534,10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8
